ABANICO,1,0,0
ABATIDO,0,1,0
ABDALAH,0,0,2
ABDICAR,0,1,0
ABDOMEN,0,1,0
ABIERTA,1,0,5
ABIERTO,0,2,5
ABOGADO,2,0,0
ABONARÉ,0,0,1
ABRAZAR,0,1,0
ABREVIA,0,0,1
ABRIERA,0,1,0
ABRIRLA,0,1,1
ABRIRLO,0,0,1
ABRIRSE,0,2,1
ABRIRÁS,0,0,1
ABSORBÍ,0,0,1
ABSORTO,1,0,0
ABUNDAN,0,0,1
ABUSADO,0,1,0
ACABABA,4,6,4
ACABADO,1,1,2
ACABARA,1,1,0
ACABARÁ,0,3,1
ACABARÉ,0,1,0
ACABASE,1,0,1
ACABÁIS,0,0,1
ACARREÓ,0,0,1
ACCEDER,0,2,0
ACCESOS,0,0,2
ACEPTAN,0,0,1
ACEPTAR,1,0,1
ACEQUIA,5,0,0
ACIERTA,0,1,0
ACIERTO,0,1,0
ACOGIDA,0,0,7
ACOGÍAN,0,1,0
ACOMETE,0,1,0
ACOSADO,1,0,0
ACTITUD,1,13,0
ACTORES,0,1,0
ACUDIRÉ,0,0,1
ACUDÍAN,0,2,0
ACUERDA,1,2,0
ACUERDE,0,1,1
ACUERDO,0,2,1
ACUESTA,0,0,1
ADENTRO,3,0,0
ADIVINA,1,0,2
ADIVINÓ,0,2,0
ADMIRAR,0,0,1
ADMITEN,1,0,0
ADOPTAR,0,4,0
ADORABA,1,1,0
ADORADA,0,3,0
ADORADO,0,1,1
ADORNAR,0,0,1
ADORNOS,1,2,0
ADUANAS,1,1,0
ADUARES,0,0,1
ADVERTÍ,0,0,5
AFICIÓN,0,5,1
AFILADO,0,0,1
AFIRMAR,1,1,0
AFIRMAS,0,0,1
AFLIGIÓ,0,0,2
AFLIGÍA,0,0,1
AFLUÍAN,0,0,1
AFUERAS,5,0,0
AGALLAS,2,0,0
AGENTES,0,7,0
AGITABA,1,2,0
AGITADA,1,0,0
AGITADO,0,2,0
AGONICE,0,1,0
AGOTADO,0,0,1
AGRADAR,0,1,0
AGUANTE,1,0,0
AGUARDO,0,1,0
AGUARDÉ,0,0,1
AGUARDÓ,0,0,2
AGUIJÓN,0,1,0
AHORCAR,0,1,1
AHORQUE,0,2,0
AHORROS,2,0,0
AISLADO,0,1,0
AJORCAS,0,0,1
AJUSTAR,1,1,0
ALABADA,0,1,0
ALABADO,0,1,0
ALADINO,0,0,1
ALARGUÉ,0,0,1
ALARIDO,1,0,0
ALBERGA,0,1,1
ALCALDE,4,1,0
ALCANCE,1,0,1
ALCANZA,0,2,0
ALCANZÓ,0,0,1
ALCOHOL,0,1,0
ALCÁZAR,0,1,0
ALEGABA,0,1,0
ALEGRES,3,3,1
ALEGRÍA,0,14,12
ALEJABA,1,0,1
ALEJADO,0,1,2
ALEJARA,0,1,0
ALFANJE,0,0,7
ALFREDO,0,0,1
ALGUIEN,9,5,9
ALGUNAS,7,23,8
ALGUNOS,17,34,11
ALIADOS,0,0,1
ALIANZA,0,1,0
ALIENTO,0,0,1
ALMACÉN,0,1,0
ALMANSA,0,1,0
ALQUILÓ,0,0,1
ALTERAN,0,1,0
ALTIVEZ,1,0,0
ALTURAS,1,2,0
ALVAREZ,0,7,0
ALZANDO,0,0,1
ALÉJALE,0,0,1
ALÍSATE,0,0,1
AMABLES,0,1,1
AMANTES,0,2,1
AMARGOS,0,0,1
AMASADO,1,0,0
AMENAZA,1,1,1
AMIGOTE,1,0,0
AMISTAD,0,2,2
AMOROSA,0,5,0
AMOROSO,0,1,1
AMPLIAS,0,1,1
AMPLIOS,1,0,0
AMÉRICA,0,0,1
ANCHURA,0,0,1
ANCIANA,0,0,1
ANCIANO,0,0,11
ANDABAN,1,1,0
ANDAMIO,2,0,0
ANDANDO,0,0,3
ANDANTE,1,0,0
ANDARÍA,0,1,0
ANDRAJO,0,1,0
ANGOSTA,1,2,0
ANGOSTO,1,0,0
ANHELAR,0,0,1
ANHELOS,0,0,1
ANILLOS,0,0,1
ANIMABA,1,2,0
ANIMADA,0,1,0
ANIMADO,2,0,0
ANIMOSO,0,0,2
ANORMAL,0,1,0
ANOTABA,0,1,0
ANSIABA,3,3,0
ANSIADA,0,2,0
ANSIADO,0,1,0
ANSIOSA,1,0,0
ANSIOSO,0,1,0
ANTIGUA,2,8,8
ANTIGUO,3,17,1
ANTONIO,14,31,0
ANUNCIA,0,1,0
ANUNCIE,0,1,1
ANUNCIO,0,2,1
ANUNCIÓ,0,0,1
ANZUELO,2,0,0
APAGADA,0,1,0
APALEAR,1,0,0
APARECE,0,1,2
APAREJO,3,0,0
APARTAR,1,0,1
APEARSE,0,1,0
APENADO,0,0,1
APLACAR,0,1,0
APODADO,1,0,0
APODERA,0,0,1
APODERE,0,0,1
APODERÓ,0,3,3
APOYABA,0,1,0
APOYADA,0,1,0
APOYADO,2,0,1
APOYASE,0,0,1
APRECIA,0,1,1
APRENDA,0,0,1
APRENDÍ,0,0,2
APUESTO,0,1,2
APUNTAR,1,0,0
APURADA,0,1,0
APURADO,0,1,0
APÓSTOL,0,2,0
AQUELLA,70,114,32
AQUELLO,18,11,11
AQUÉLLA,0,5,3
ARAÑAZO,0,1,0
ARCADAS,0,1,0
ARCHIVO,0,5,0
ARCONES,1,0,0
ARGOLLA,0,0,1
ARISTAS,1,0,0
ARMADAS,1,1,0
ARMADOS,0,1,0
ARMANDO,1,0,0
ARMARON,0,0,1
ARMAZÓN,0,1,0
ARMONÍA,0,1,0
ARQUERO,0,0,1
ARRAIGÓ,0,1,0
ARRANCA,0,1,0
ARRANCÓ,0,0,1
ARREABA,1,0,0
ARREGLA,1,0,0
ARREGLO,0,2,0
ARREGLÓ,0,0,1
ARRIADO,1,0,0
ARRIBAR,0,0,1
ARROJAN,0,1,0
ARROJAR,0,3,1
ARROJEN,0,0,1
ARROJES,0,1,0
ARROYOS,0,0,1
ARRUGAS,0,3,1
ARTERIA,0,1,0
ARTISTA,2,4,4
